# radius     dens           temp        c12          ne22
232
6.20000E+07  7.21357E+08  5.00000E+05  5.00000E-01  2.50000E-02  
6.28000E+07  6.99428E+08  5.00000E+05  5.00000E-01  2.50000E-02  
6.36000E+07  6.77499E+08  5.00000E+05  5.00000E-01  2.50000E-02  
6.44000E+07  6.57108E+08  5.00000E+05  5.00000E-01  2.50000E-02  
6.52000E+07  6.37276E+08  5.00000E+05  5.00000E-01  2.50000E-02  
6.60000E+07  6.17445E+08  5.00000E+05  5.00000E-01  2.50000E-02  
6.68000E+07  5.97613E+08  5.00000E+05  5.00000E-01  2.50000E-02  
6.76000E+07  5.79267E+08  5.00000E+05  5.00000E-01  2.50000E-02  
6.84000E+07  5.61420E+08  5.00000E+05  5.00000E-01  2.50000E-02  
6.92000E+07  5.43572E+08  5.00000E+05  5.00000E-01  2.50000E-02  
7.00000E+07  5.25725E+08  5.00000E+05  5.00000E-01  2.50000E-02  
7.08000E+07  5.09289E+08  5.00000E+05  5.00000E-01  2.50000E-02  
7.16000E+07  4.93314E+08  5.00000E+05  5.00000E-01  2.50000E-02  
7.24000E+07  4.77338E+08  5.00000E+05  5.00000E-01  2.50000E-02  
7.32000E+07  4.61363E+08  5.00000E+05  5.00000E-01  2.50000E-02  
7.40000E+07  4.46665E+08  5.00000E+05  5.00000E-01  2.50000E-02  
7.48000E+07  4.32433E+08  5.00000E+05  5.00000E-01  2.50000E-02  
7.56000E+07  4.18201E+08  5.00000E+05  5.00000E-01  2.50000E-02  
7.64000E+07  4.03969E+08  5.00000E+05  5.00000E-01  2.50000E-02  
7.72000E+07  3.90839E+08  5.00000E+05  5.00000E-01  2.50000E-02  
7.80000E+07  3.78222E+08  5.00000E+05  5.00000E-01  2.50000E-02  
7.88000E+07  3.65604E+08  5.00000E+05  5.00000E-01  2.50000E-02  
7.96000E+07  3.52987E+08  5.00000E+05  5.00000E-01  2.50000E-02  
8.04000E+07  3.41244E+08  5.00000E+05  5.00000E-01  2.50000E-02  
8.12000E+07  3.30106E+08  5.00000E+05  5.00000E-01  2.50000E-02  
8.20000E+07  3.18967E+08  5.00000E+05  5.00000E-01  2.50000E-02  
8.28000E+07  3.07829E+08  5.00000E+05  5.00000E-01  2.50000E-02  
8.36000E+07  2.97311E+08  5.00000E+05  5.00000E-01  2.50000E-02  
8.44000E+07  2.87525E+08  5.00000E+05  5.00000E-01  2.50000E-02  
8.52000E+07  2.77740E+08  5.00000E+05  5.00000E-01  2.50000E-02  
8.60000E+07  2.67954E+08  5.00000E+05  5.00000E-01  2.50000E-02  
8.68000E+07  2.58506E+08  5.00000E+05  5.00000E-01  2.50000E-02  
8.76000E+07  2.49946E+08  5.00000E+05  5.00000E-01  2.50000E-02  
8.84000E+07  2.41386E+08  5.00000E+05  5.00000E-01  2.50000E-02  
8.92000E+07  2.32825E+08  5.00000E+05  5.00000E-01  2.50000E-02  
9.00000E+07  2.24294E+08  5.00000E+05  5.00000E-01  2.50000E-02  
9.08000E+07  2.16842E+08  5.00000E+05  5.00000E-01  2.50000E-02  
9.16000E+07  2.09390E+08  5.00000E+05  5.00000E-01  2.50000E-02  
9.24000E+07  2.01939E+08  5.00000E+05  5.00000E-01  2.50000E-02  
9.32000E+07  1.94487E+08  5.00000E+05  5.00000E-01  2.50000E-02  
9.40000E+07  1.87748E+08  5.00000E+05  5.00000E-01  2.50000E-02  
9.48000E+07  1.81286E+08  5.00000E+05  5.00000E-01  2.50000E-02  
9.56000E+07  1.74824E+08  5.00000E+05  5.00000E-01  2.50000E-02  
9.64000E+07  1.68362E+08  5.00000E+05  5.00000E-01  2.50000E-02  
9.72000E+07  1.62206E+08  5.00000E+05  5.00000E-01  2.50000E-02  
9.80000E+07  1.56629E+08  5.00000E+05  5.00000E-01  2.50000E-02  
9.88000E+07  1.51052E+08  5.00000E+05  5.00000E-01  2.50000E-02  
9.96000E+07  1.45475E+08  5.00000E+05  5.00000E-01  2.50000E-02  
1.00400E+08  1.39897E+08  5.00000E+05  5.00000E-01  2.50000E-02  
1.01200E+08  1.35026E+08  5.00000E+05  5.00000E-01  2.50000E-02  
1.02000E+08  1.30243E+08  5.00000E+05  5.00000E-01  2.50000E-02  
1.02800E+08  1.25461E+08  5.00000E+05  5.00000E-01  2.50000E-02  
1.03600E+08  1.20679E+08  5.00000E+05  5.00000E-01  2.50000E-02  
1.04400E+08  1.16138E+08  5.00000E+05  5.00000E-01  2.50000E-02  
1.05200E+08  1.12046E+08  5.00000E+05  5.00000E-01  2.50000E-02  
1.06000E+08  1.07954E+08  5.00000E+05  5.00000E-01  2.50000E-02  
1.06800E+08  1.03861E+08  5.00000E+05  5.00000E-01  2.50000E-02  
1.07600E+08  9.97693E+07  5.00000E+05  5.00000E-01  2.50000E-02  
1.08400E+08  9.61221E+07  5.00000E+05  5.00000E-01  2.50000E-02  
1.09200E+08  9.26437E+07  5.00000E+05  5.00000E-01  2.50000E-02  
1.10000E+08  8.91653E+07  5.00000E+05  5.00000E-01  2.50000E-02  
1.10800E+08  8.56869E+07  5.00000E+05  5.00000E-01  2.50000E-02  
1.11600E+08  8.22085E+07  5.00000E+05  5.00000E-01  2.50000E-02  
1.12400E+08  7.92660E+07  5.00000E+05  5.00000E-01  2.50000E-02  
1.13200E+08  7.63302E+07  5.00000E+05  5.00000E-01  2.50000E-02  
1.14000E+08  7.33945E+07  5.00000E+05  5.00000E-01  2.50000E-02  
1.14800E+08  7.04588E+07  5.00000E+05  5.00000E-01  2.50000E-02  
1.15600E+08  6.75818E+07  5.00000E+05  5.00000E-01  2.50000E-02  
1.16400E+08  6.51165E+07  5.00000E+05  5.00000E-01  2.50000E-02  
1.17200E+08  6.26511E+07  5.00000E+05  5.00000E-01  2.50000E-02  
1.18000E+08  6.01857E+07  5.00000E+05  5.00000E-01  2.50000E-02  
1.18800E+08  5.77204E+07  5.00000E+05  5.00000E-01  2.50000E-02  
1.19600E+08  5.53088E+07  5.00000E+05  5.00000E-01  2.50000E-02  
1.20400E+08  5.32349E+07  5.00000E+05  5.00000E-01  2.50000E-02  
