# X(12C) = 0.5, YASS solver
#
# [1]  = density
# [2]  = laminar flame speed
# [3]  = total width of the 12C-burning zone
# [4]  = total width of the 16O-burning zone
# [5]  = total flame width to NSE
# [6]  = density jump at the end of 12C-burning zone
# [7]  = density jump at the end of 16O-burning zone
# [8]  = density jump at NSE
# [9]  = density jump at the width 1.00E+06 cm
# [10] = CJ deflagration speed at the end of 12C-burning zone
# [11] = CJ deflagration speed at the end of 16O-burning zone
# [12] = CJ deflagration speed at NSE
# [13] = CJ deflagration speed at the width 1.00E+06 cm
#
1.0000000000000000E+09  8.5258000000000000E+06  4.7544000000000000E-05  2.7144874771155912E-03  6.6106652331605114E+00  1.2062861425175737E+00  1.2515752141862795E+00  1.2365099264866539E+00  1.2365099264866539E+00  7.3171571909368515E+08  7.1902655960480142E+08  7.2396420542986917E+08  7.2396420542986917E+08
1.0000000000000000E+08  4.0714000000000000E+05  7.9300000000000000E-03  2.9937799480288368E-01  4.0413990695494049E+03  1.4239613266126021E+00  1.7165864553602741E+00  1.7550123204369070E+00  1.7550123204369070E+00  4.5160494335307604E+08  4.0994785868425596E+08  4.0550058180840999E+08  4.0550058180840999E+08
9.0000000000000000E+07  3.3577000000000000E+05  1.0508100000000000E-02  4.4086081436232349E-01  6.1419184700952610E+03  1.4382531485811743E+00  1.7501231923286085E+00  1.8044913262508637E+00  1.8044913262508637E+00  4.4084588388950586E+08  3.9817989525607151E+08  3.9210020302284610E+08  3.9210020302284610E+08
8.0000000000000000E+07  2.6925000000000000E+05  1.4446000000000000E-02  6.6008099030174305E-01  1.0025836880730885E+04  1.4549903391361230E+00  1.7885154796715590E+00  1.8637850826074733E+00  1.8637850826074733E+00  4.2897702206739134E+08  3.8536448651511264E+08  3.7734344519676095E+08  3.7734344519676095E+08
7.0000000000000000E+07  2.0826000000000000E+05  2.0806000000000000E-02  1.1122195450987664E+00  1.8030720510659376E+04  1.4750530498969396E+00  1.8332185337507862E+00  1.9359170427994725E+00  1.9359170427994725E+00  4.1570617724356365E+08  3.7125754720741624E+08  3.6097551039594012E+08  3.6097551039594012E+08
6.0000000000000000E+07  1.5362000000000000E+05  3.1875200000000000E-02  2.0887564182277898E+00  3.7177723745217409E+04  1.4997571412807247E+00  1.8865014664721176E+00  2.0248328585764228E+00  2.0248328585764228E+00  4.0062587210356730E+08  3.5551191051833928E+08  3.4269317356608152E+08  3.4269317356608152E+08
5.0000000000000000E+07  1.0614000000000000E+05  5.3242300000000000E-02  4.5876080192911592E+00  9.4052118337007807E+04  1.5314139061707825E+00  1.9525119782416758E+00  2.1359316261166303E+00  2.1359316261166303E+00  3.8310175618957800E+08  3.3751813147369707E+08  3.2213174997610706E+08  3.2213174997610706E+08
4.0000000000000000E+07  6.6555000000000000E+04  1.0126200000000000E-01  1.2704057144855204E+01  3.2938530210043595E+05  1.5741560223900060E+00  2.0390812477470508E+00  2.2770819010884513E+00  2.2770819010884513E+00  3.6210810549116540E+08  3.1629693904282558E+08  2.9864655671406686E+08  2.9864655671406686E+08
3.0000000000000000E+07  3.5631000000000000E+04  2.3784200000000000E-01  5.2543546924854589E+01  1.9463149995728270E+06  1.6371097708637732E+00  2.1634437568542513E+00  2.4640384144612248E+00  2.4557517093074610E+00  3.3571329838898832E+08  2.9004776493587875E+08  2.7101760924271047E+08  2.7148994896117163E+08
2.0000000000000000E+07  1.4124000000000001E+04  8.4165500000000000E-01  4.8379400381392088E+02  1.4529940028885549E+07  1.7428255799705237E+00  2.3734988054518986E+00  2.7333882299660153E+00  2.5908770554395844E+00  2.9985489008249515E+08  2.5489714838408577E+08  2.3680528714540935E+08  2.4349247731323162E+08
1.0000000000000000E+07  2.4633000000000002E+03  8.9171400000000000E+00  3.7141065529163367E+04  2.6414090807529557E+06  1.9755681307783945E+00  2.8630850547524833E+00  2.8983763038025296E+00  2.8962575751832342E+00  2.4296676592792869E+08  1.9959385528930852E+08  1.9831892953708893E+08  1.9839520315951055E+08
9.0000000000000000E+06  1.8459000000000001E+03  1.3086300000000000E+01  7.7028058060672745E+04  2.0178519324764607E+06  2.0167535583560334E+00  2.9543879796765418E+00  2.9888302251167151E+00  2.9884805883668779E+00  2.3490589236989513E+08  1.9183117993849471E+08  1.9067310527347815E+08  1.9068482264855382E+08
8.0000000000000000E+06  1.3261000000000001E+03  2.0267600000000000E+01  1.7750514316186434E+05  1.9637760341092327E+06  2.0644003138025848E+00  3.0620143718369413E+00  3.0982480306126643E+00  3.0981770087252269E+00  2.2610891770234194E+08  1.8334687110792780E+08  1.8222327088554063E+08  1.8222546373034218E+08
7.0000000000000000E+06  9.0176999999999998E+02  3.3659500000000000E+01  4.6829589638645900E+05  2.8806100434707608E+06  2.1203160232565428E+00  3.1916800214561714E+00  3.2306390854432667E+00  3.2287175277689260E+00  2.1641944322667435E+08  1.7401089611844406E+08  1.7290841181439567E+08  1.7296230026959175E+08
6.0000000000000000E+06  5.6948000000000002E+02  6.1397900000000000E+01  1.4794240060086171E+06  2.7320106260793703E+06  2.1872400799407918E+00  3.3522953803530191E+00  3.3892847578381886E+00  3.2684546671074641E+00  2.0562436708157134E+08  1.6367592624066582E+08  1.6273441935786819E+08  1.6587388677505717E+08
5.0000000000000000E+06  3.2425000000000002E+02  1.2769800000000000E+02  5.9842994266041508E+06  2.8782317387301495E+10  2.2699456351742446E+00  3.5593180976655510E+00  3.6082459269300675E+00  2.6482010345104059E+00  1.9337963985510978E+08  1.5199939116087601E+08  1.5091013585906896E+08  1.7792830379740822E+08
