# Flame properties needed to calculate 
# the critical conditions for sDDT
#
# [1] = density
# [2] = laminar flame speed
# [3] = width of the 12C-burning zone
# [4] = width of the 16O-burning zone
# [5] = 12C fluid expansion factor
# [6] = 16O fluid expansion factor
# [7] = cold fuel sound speed
  1.0000000000000000E+07  1.5357688275410728E+04  3.6683540042306868E+00  0.0000000000000000E+00  2.8231006176534046E+00  0.0000000000000000E+00  3.5174325205017322E+08
  1.0471285480508985E+07  1.7404173255912872E+04  3.1255540573266534E+00  0.0000000000000000E+00  2.7878417004477991E+00  0.0000000000000000E+00  3.5509665645042747E+08
  1.0964781961431852E+07  1.9674275906340561E+04  2.6717357503315666E+00  0.0000000000000000E+00  2.7530915877696236E+00  0.0000000000000000E+00  3.5846724883632445E+08
  1.1481536214968817E+07  2.2202557821322960E+04  2.2527745210184489E+00  0.0000000000000000E+00  2.7195368720035553E+00  0.0000000000000000E+00  3.6185537097067279E+08
  1.2022644346174130E+07  2.5053987070128966E+04  1.8882493542754291E+00  0.0000000000000000E+00  2.6868283058893918E+00  0.0000000000000000E+00  3.6526075533535618E+08
  1.2589254117941663E+07  2.8292249297093749E+04  1.6140361410017043E+00  0.0000000000000000E+00  2.6544019555604139E+00  0.0000000000000000E+00  3.6868426022206181E+08
  1.3182567385564074E+07  3.1901454349286945E+04  1.3930369935996414E+00  0.0000000000000000E+00  2.6222930532881437E+00  0.0000000000000000E+00  3.7212538390708596E+08
  1.3803842646028839E+07  3.5864651579521829E+04  1.1868877999983971E+00  0.0000000000000000E+00  2.5913157356843315E+00  0.0000000000000000E+00  3.7558425109638298E+08
  1.4454397707459280E+07  4.0267550953811275E+04  1.0016551940582550E+00  0.0000000000000000E+00  2.5614919293217127E+00  0.0000000000000000E+00  3.7906086670901662E+08
  1.5135612484362071E+07  4.5236161216680819E+04  8.4952875736798883E-01  0.0000000000000000E+00  2.5321348319795605E+00  0.0000000000000000E+00  3.8255549554759794E+08
  1.5848931924611142E+07  5.0853596933197958E+04  7.3673408918688454E-01  0.0000000000000000E+00  2.5025804332658246E+00  0.0000000000000000E+00  3.8606915023089761E+08
  1.6595869074375596E+07  5.7019387818059738E+04  6.3403339371268685E-01  0.0000000000000000E+00  2.4740058417662909E+00  0.0000000000000000E+00  3.8960106154533947E+08
  1.7378008287493762E+07  6.3753523160129240E+04  5.4062421270140715E-01  0.0000000000000000E+00  2.4465493510213112E+00  0.0000000000000000E+00  3.9315142045887679E+08
  1.8197008586099826E+07  7.1250194094666629E+04  4.6048794631391965E-01  0.0000000000000000E+00  2.4200387682140896E+00  0.0000000000000000E+00  3.9672042507735276E+08
  1.9054607179632481E+07  7.9705934226071287E+04  3.9656393020794056E-01  0.0000000000000000E+00  2.3932616319338762E+00  0.0000000000000000E+00  4.0030821493191457E+08
