# X(12C) = 0.5, Timmes solver
#
# [1]  = density
# [2]  = laminar flame speed
# [3]  = total width of the 12C-burning zone
# [4]  = total width of the 16O-burning zone
# [5]  = total flame width to NSE
# [6]  = density jump at the end of 12C-burning zone
# [7]  = density jump at the end of 16O-burning zone
# [8]  = density jump at NSE
# [9]  = density jump at the width 1.00E+06 cm
# [10] = CJ deflagration speed at the end of 12C-burning zone
# [11] = CJ deflagration speed at the end of 16O-burning zone
# [12] = CJ deflagration speed at NSE
# [13] = CJ deflagration speed at the width 1.00E+06 cm
#
1.0000000000000000E+09  2.9710000000000000E+06  8.1803300000000000E-05  6.5776986052583212E-04  6.8165553298363224E-01  1.1599928300901416E+00  1.2673787743446869E+00  1.2637345651779179E+00  1.2637345651779179E+00  7.4682337567771864E+08  7.1426677898748994E+08  7.1595840837203789E+08  7.1595840837203789E+08
1.0000000000000000E+08  3.6563000000000000E+05  6.3900100000000000E-03  2.4910506012509334E-01  3.4413873477649266E+08  1.3889805959532391E+00  1.7232002641678215E+00  1.5456070628317329E+00  1.7925297802696010E+00  4.5746973304380530E+08  4.0912878949637419E+08  4.3191387908706307E+08  4.0101965649883235E+08
9.0000000000000000E+07  3.1538000000000000E+05  8.3190800000000000E-03  3.7689259508490275E-01  3.4928487913979757E+08  1.4031276553453407E+00  1.7571584645979308E+00  1.5513511913357281E+00  1.8414978229870698E+00  4.4653288283160520E+08  3.9735030390238690E+08  4.2288333985542297E+08  3.8794453244418174E+08
8.0000000000000000E+07  2.6490000000000000E+05  1.1269200000000000E-02  5.7705549706316384E-01  2.7607050825089842E+08  1.4195946361428446E+00  1.7963902947107229E+00  1.6036448932491834E+00  1.8996292691595917E+00  4.3448738340564352E+08  3.8448368443400925E+08  4.0692521231775331E+08  3.7358684461647302E+08
7.0000000000000000E+07  2.1480000000000000E+05  1.6067300000000000E-02  9.9551784916647412E-01  1.6815878741066462E+08  1.4392138465769722E+00  1.8424793548136580E+00  1.7119975672684120E+00  1.9695783924861210E+00  4.2104022747806108E+08  3.7028220236480445E+08  3.8401025213210934E+08  3.5771916009015924E+08
6.0000000000000000E+07  1.6597000000000000E+05  2.4503400000000000E-02  1.9111961309448240E+00  9.2403351103993371E+07  1.4632525273454784E+00  1.8977448496649589E+00  1.8475111267345143E+00  2.0547803165427765E+00  4.0578248413769186E+08  3.5440744337825787E+08  3.5891637476123190E+08  3.4005622434107375E+08
5.0000000000000000E+07  1.1974000000000000E+05  4.0997000000000000E-02  4.2874200274016872E+00  3.0380638679775394E+07  1.4938180615012187E+00  1.9663290499793959E+00  2.0553752771981615E+00  2.1600765203441883E+00  3.8808774540130347E+08  3.3627481463562107E+08  3.2842179869973463E+08  3.2023475799270737E+08
4.0000000000000000E+07  7.7858000000000000E+04  7.8549600000000000E-02  1.2130329774747691E+01  1.5417589714654885E+07  1.5346378855395830E+00  2.0559350328278962E+00  2.2170559132629806E+00  2.2932699881013696E+00  3.6694537773963118E+08  3.1493783401537806E+08  3.0270084799293846E+08  2.9753939534912866E+08
3.0000000000000000E+07  4.2618000000000000E+04  1.8664700000000000E-01  5.1334612323074339E+01  1.9067915671098550E+05  1.5937349054925645E+00  2.1831795953229909E+00  2.4739545166559584E+00  2.4739545166559584E+00  3.4046599973970687E+08  2.8866584146725243E+08  2.7044992626867712E+08  2.7044992626867712E+08
2.0000000000000000E+07  1.6936000000000000E+04  6.6488000000000000E-01  4.8178353262529129E+02  4.3365282312686499E+06  1.6916390784273518E+00  2.3919216121780691E+00  2.6905084472728458E+00  2.6507582337488116E+00  3.0459956632119483E+08  2.5386551745516202E+08  2.3871895344983512E+08  2.4060629759521326E+08
1.0000000000000000E+07  2.9149000000000000E+03  7.0528300000000000E+00  3.6404723791151860E+04  2.6225112239862033E+06  1.9038782328322983E+00  2.8588336939649794E+00  2.8358826761148119E+00  2.8735897586275834E+00  2.4780353063048226E+08  1.9974973238079301E+08  2.0057382883703789E+08  1.9920439097002718E+08
9.0000000000000000E+06  2.1812000000000000E+03  1.0354700000000000E+01  7.4804583767032571E+04  2.3096852040651483E+06  1.9413592731631537E+00  2.9449179672789416E+00  2.9212031608853506E+00  2.9577516054058086E+00  2.3973711535762995E+08  1.9215463888916650E+08  1.9295017295063278E+08  1.9171027151600721E+08
8.0000000000000000E+06  1.5656000000000000E+03  1.6038000000000000E+01  1.7054344109756197E+05  2.4973420173757169E+06  1.9849365134620671E+00  3.0456243190951544E+00  3.0074109100860285E+00  3.0579149423616867E+00  2.3090867675622973E+08  1.8386360653144875E+08  1.8506230932308334E+08  1.8346903370410687E+08
7.0000000000000000E+06  1.0646000000000000E+03  2.6619800000000000E+01  4.4616769466172520E+05  4.0263650586307119E+06  2.0366567500836354E+00  3.1623425871178075E+00  3.0580482333150818E+00  3.1781462914606271E+00  2.2115015286001065E+08  1.7485571490095082E+08  1.7792936598353505E+08  1.7439336539149207E+08
6.0000000000000000E+06  6.7328000000000000E+02  4.8451800000000000E+01  1.4266768800920635E+06  3.0567474198921551E+06  2.0997455966972489E+00  3.2788298092472417E+00  3.2310075756100258E+00  3.2360034882297422E+00  2.1019616255121246E+08  1.6558920497622493E+08  1.6685886643800756E+08  1.6674637738750979E+08
5.0000000000000000E+06  3.8478000000000000E+02  1.0022500000000000E+02  7.1174765846720710E+06  2.5654247697186090E+07  2.1799225772855477E+00  3.1834352318308774E+00  2.5334854749448046E+00  2.5996247230638132E+00  1.9765143619953448E+08  1.6117767357502344E+08  1.8195165052350026E+08  1.7970028788826841E+08


