  #time                     mass                      x-momentum                y-momentum                z-momentum                E_internal+kinetic        E_kinetic_(from_vel)      E_internal                E_grav                    E_restmass                E_neutloss                mass_burned               mass_burned_to_NSQE       mass_burned_to_NSE        mass_burned_by_flame      estimated_Ni56_mass       mass_with_dens_>_1e9      mass_with_dens_>_3e8      mass_with_dens_>_1e8      mass_with_dens_>_3e7      mass_with_dens_>_2e7      mass_with_dens_>_1.5e7    mass_with_dens_>_1e7      mass_with_dens_>_7e6      mass_with_dens_>_3e6      mass_with_dens_>_1e6      burned_volume             maximum_density           minimum_flame_density     T_max                     Pressure_at_T_max        
  1.019299224953353457E-03  2.745879400916990254E+33 -3.914841814298935882E+24 -7.461339042934039438E+24 -1.028655255529762315E+31  2.529634106487595282E+51  1.000173838160067402E+44  2.529634006470211908E+51 -3.038881490104971655E+51 -2.073969061330040548E+52  7.167366892772253395E+43  4.882431216455048091E+28  4.882431216455048091E+28  4.882379134881929673E+28  4.882429390579297124E+28  4.789028003992645388E+28  6.828100255443847169E+32  1.748494270390632658E+33  2.311853948104694705E+33  2.599538689211906910E+33  2.648748123976800995E+33  2.674266782896787763E+33  2.700179352374236852E+33  2.715707761389757749E+33  2.735393317976289219E+33  2.743538216188521001E+33  2.425654816367809331E+19  2.197509214344456196E+09  2.174721824514170647E+09  8.428690141997377396E+09  1.387503966846831583E+27
  1.185185479821824909E-03  2.745879400916982184E+33  1.099839153860340370E+25  2.646414177000149178E+25 -1.193972136359381167E+31  2.529635960032027427E+51  1.042579495904315347E+44  2.529635855774081750E+51 -3.038878819208391003E+51 -2.073969066589786688E+52  8.341951610659362171E+43  4.896378858906791714E+28  4.896378858906791714E+28  4.896331001677908959E+28  4.896376750040611558E+28  4.787682678191042769E+28  6.828115181781758415E+32  1.748495387857223931E+33  2.311844127725852822E+33  2.599538233098149901E+33  2.648748165254792555E+33  2.674266873413890445E+33  2.700179412966631810E+33  2.715707804417706603E+33  2.735393409942488564E+33  2.743537351887060992E+33  2.432474859726425293E+19  2.197507165923858643E+09  2.174828150374197006E+09  8.431055720887514114E+09  1.387816488648306261E+27
  1.367660360177143678E-03  2.745879400916985643E+33  6.488531547462892524E+24  1.000197221071790856E+25 -1.376220231076828147E+31  2.529637987416488435E+51  1.105991213731362055E+44  2.529637876817367558E+51 -3.038875576445689462E+51 -2.073969072394969042E+52  9.636569695253677543E+43  4.911759345225972135E+28  4.911759345225972135E+28  4.911715412737178400E+28  4.911756827248000041E+28  4.786206820661976343E+28  6.828131550756351908E+32  1.748496610946612460E+33  2.312043835497534660E+33  2.599537806594215270E+33  2.648742985826101800E+33  2.674266973134224778E+33  2.700179479733352619E+33  2.715707851876938083E+33  2.735393401327782988E+33  2.743537034580866303E+33  2.440024286877759898E+19  2.197553478327023983E+09  2.174940181577528000E+09  8.433737485190926552E+09  1.388286605570545903E+27
  1.568382728567994456E-03  2.745879400917036371E+33  2.537327511245860373E+25  4.309631652266838222E+25 -1.568418155523235782E+31  2.529640204985886515E+51  1.203038899314008518E+44  2.529640084681991290E+51 -3.038986968100559866E+51 -2.073969078805842046E+52  1.106373477504105620E+44  4.928723873193828472E+28  4.928723873193828472E+28  4.928683580277069569E+28  4.928720728345155880E+28  4.784588613114246120E+28  6.828149489259722007E+32  1.749003083023384105E+33  2.311904566245506200E+33  2.599530885179899805E+33  2.648715178499767649E+33  2.674267254460159291E+33  2.700179553324236565E+33  2.715707904237393947E+33  2.735393387185560703E+33  2.743536215356017109E+33  2.448389114417914675E+19  2.197655035120608330E+09  2.175007622185546398E+09  8.436711563519983292E+09  1.388843930067037915E+27
  1.789177333797930354E-03  2.745879400917038677E+33  5.664903609185597702E+26  3.317745796204897941E+26 -1.779695551261033554E+31  2.529642631156104315E+51  1.347223561179017597E+44  2.529642496433746029E+51 -3.038985059765331458E+51 -2.073969085889601365E+52  1.263730686871334401E+44  4.947440457096919320E+28  4.947440457096919320E+28  4.947403533244636798E+28  4.947436370388315131E+28  4.782815477357059237E+28  6.828169132824595257E+32  1.749004559365904089E+33  2.311948175411180229E+33  2.599531116585384056E+33  2.648715335206389635E+33  2.674267375783640476E+33  2.700179634464032013E+33  2.715707962023632727E+33  2.735393709913907759E+33  2.743534577008210465E+33  2.457666937759327027E+19  2.197769090271861076E+09  2.175097622268505096E+09  8.439880375790703773E+09  1.389301774695279591E+27
  2.032051399550859842E-03  2.745879400917126299E+33 -3.024392390289035581E+26  1.680501336593991946E+26 -2.033452178670556981E+31  2.529645286249612291E+51  1.564370726857363769E+44  2.529645129812544828E+51 -3.039092115201033840E+51 -2.073969093721664206E+52  1.437264431732377062E+44  4.968095980230374457E+28  4.968095980230374457E+28  4.968062169686200361E+28  4.968090521876576989E+28  4.780875162467112587E+28  6.828190617625456105E+32  1.748800887935503891E+33  2.311950687362519359E+33  2.599530388154501267E+33  2.648715507105597278E+33  2.674267509515517754E+33  2.700179723963312533E+33  2.715708025815719208E+33  2.735393190273579785E+33  2.743532370188235976E+33  2.467967077617765581E+19  2.197868816405765057E+09  2.175192898592241287E+09  8.443120587170600891E+09  1.389433211798164821E+27
  2.299212871879082517E-03  2.745879400917124570E+33 -1.966582298126235053E+26 -2.977168725460339129E+26 -2.310553057875829680E+31  2.529648194671088952E+51  1.882387717202075336E+44  2.529648006432318120E+51 -3.039091578330569090E+51 -2.073969102386091214E+52  1.628677422425696755E+44  4.990898557261771636E+28  4.990898557261771636E+28  4.990867615664236716E+28  4.990891196428488990E+28  4.778753635504681817E+28  6.828214080661597690E+32  1.748782996549814006E+33  2.311952939504890811E+33  2.599535583594222820E+33  2.648715695605751641E+33  2.674267656937354457E+33  2.700179822731209188E+33  2.715708096258171099E+33  2.735393002876213287E+33  2.743530508208937990E+33  2.479411973498345062E+19  2.197984263219276428E+09  2.175323180661443233E+09  8.446377859258482933E+09  1.389134113453499404E+27
  2.593090491440127026E-03  2.745879400917111888E+33 -3.396514869139163623E+26 -9.308445469043672467E+26 -2.633949029765646021E+31  2.529651385618909411E+51  2.375503073958184240E+44  2.529651148068598896E+51 -3.039309696851892177E+51 -2.073969111974892878E+52  1.839858694047603292E+44  5.016080207793561145E+28  5.016080207793561145E+28  5.016051876495026948E+28  5.016070345188529017E+28  4.776437392095099917E+28  6.828239655959657813E+32  1.748325200107580859E+33  2.312013123594573007E+33  2.599531960091088719E+33  2.648715902230035548E+33  2.674267819459369581E+33  2.700179931790682135E+33  2.715708174073235499E+33  2.735392410881433012E+33  2.743529108975757247E+33  2.492135326036997734E+19  2.198115907868406773E+09  2.175477980934328079E+09  8.449702669060052872E+09  1.388450221007209439E+27
  2.916355872957276160E-03  2.745879400917110735E+33 -3.618277199174722163E+25  1.530046740449765049E+25 -2.996753425741212151E+31  2.529654898665033834E+51  3.088533632880381388E+44  2.529654589811674026E+51 -3.039313016991462941E+51 -2.073969122585472900E+52  2.072906308545126354E+44  5.043899765669710529E+28  5.043899765669710529E+28  5.043873814236293720E+28  5.043886837412288161E+28  4.773910844774705183E+28  6.828267447393481497E+32  1.748209356635193801E+33  2.312004059808825169E+33  2.599532300198790131E+33  2.648716128606793250E+33  2.674267998631283898E+33  2.700180052297133968E+33  2.715708259719711757E+33  2.735391259397932810E+33  2.743526831499781559E+33  2.506276093549240730E+19  2.198210946966279030E+09  2.175568306024597645E+09  8.453295596245593071E+09  1.387641326212964747E+27
  3.271947792626140380E-03  2.745879400917108429E+33 -1.972721374553965592E+26  2.152265748232669503E+26 -3.399445267546977622E+31  2.529658765071473436E+51  3.969988270377528691E+44  2.529658368072639377E+51 -3.039316676999728924E+51 -2.073969134321751122E+52  2.330155549741705561E+44  5.074646191385335692E+28  5.074646191385335692E+28  5.074622438019376015E+28  5.074629699229478643E+28  4.771158522407589102E+28  6.828297570465474614E+32  1.748133084555966017E+33  2.311998290591051215E+33  2.599538572672933523E+33  2.648716376429292313E+33  2.674268196158322498E+33  2.700180185560662825E+33  2.715708124863643202E+33  2.735390572448837751E+33  2.743525262418461282E+33  2.521966949776241459E+19  2.198215630780834198E+09  2.175544417235253334E+09  8.457375593290894508E+09  1.386970711344354135E+27
